kod,sektor,son_fiyat,hedef_final,potansiyel_pct,sinyal,gerceklesme,katalist_tier,katalist_bilgi,makro,nakit_donusum
PKENT,Turizm,154.6,95.06,-38.5,🔴 SAT,0.4,0,,0.7,ND:0.60
CGCAM,"Cam, Seramik, Porselen",35.98,20.59,-42.8,🔴 SAT,0.5,0,,0.9,
EGPRO,Kimya ve Plastik,29.02,16.59,-42.8,🔴 SAT,0.4,0,,0.9,ND:0.60
GRSEL,Servis Taşımacılığı ve Araç Kiralama,324.0,184.64,-43.0,🔴 SAT,0.4,0,,0.85,ND:0.70
ENKAI,İnşaat,92.95,52.71,-43.3,🔴 SAT,0.55,0,,0.95,ND:0.75✅
GEDIK,Aracı Kurum,5.35,2.97,-44.4,🔴 SAT,0.4,0,,0.95,
TERA,Aracı Kurum,320.25,177.05,-44.7,🔴 SAT,0.3,0,,0.95,
GRTHO,Gıda ve İçecek,241.7,133.19,-44.9,🔴 SAT,0.5,0,,1.0,ND:0.55
BEYAZ,Destek ve Hizmet,28.46,15.57,-45.3,🔴 SAT,0.4,0,,1.0,
ELITE,Gıda ve İçecek,28.36,13.8,-51.3,🔴 SAT,0.3,0,,1.0,
ARTMS,"Tekstil, Giyim ve Deri",39.34,17.15,-56.4,🔴 SAT,0.3,0,,0.95,
CMENT,"Taş, Toprak, Çimento",339.0,144.47,-57.4,🔴 SAT,0.4,0,,0.9,ND:0.55
GSDDE,Ulaştırma,9.72,4.03,-58.5,🔴 SAT,0.9,2,T2 2 gemi siparişi,0.55,ND:1.50✅
SAYAS,Enerji Teknolojileri,42.48,17.41,-59.0,🔴 SAT,0.3,0,,1.1,
SANEL,İnşaat,36.12,14.17,-60.8,🔴 SAT,0.3,0,,0.95,
BESTE,Enerji Üretim ve Dağıtım,24.28,9.07,-62.7,🔴 SAT,0.4,0,,1.15,
RALYH,Holding,139.5,50.02,-64.1,🔴 SAT,0.2,0,,0.95,
CLEBI,Ulaştırma,1829.0,605.24,-66.9,🔴 SAT,0.35,0,,0.55,ND:0.80✅
MEGMT,Ana Metal,70.7,18.32,-74.1,🔴 SAT,0.4,0,,0.9,ND:0.55
PSDTC,Toptan ve Perakende Ticaret,132.5,33.4,-74.8,🔴 SAT,0.4,0,,0.95,
ATATR,Turizm,10.7,2.59,-75.8,🔴 SAT,0.4,0,,0.7,
KBORU,Ana Metal,17.75,3.63,-79.5,🔴 SAT,0.3,0,,0.9,ND:0.40
